GEO2010,PctPoorPersons_1980,PctPoorPersons_1990,PctPoorPersons_2000,PctPoorPersons_2011_15,PctPoorChildren_1990,PctPoorChildren_2000,PctPoorChildren_2011_15,PctPoorElderly_1990,PctPoorElderly_2000,PctPoorElderly_2011_15,PctUnemployed_1980,PctUnemployed_1990,PctUnemployed_2000,PctUnemployed_2011_15,Pct16andOverEmployed_1980,Pct16andOverEmployed_1990,Pct16andOverEmployed_2000,Pct16andOverEmployed_2011_15,Pct25andOverWoutHS_1980,Pct25andOverWoutHS_1990,Pct25andOverWoutHS_2000,Pct25andOverWoutHS_2011_15,PctHshldPhone_2000,PctHshldPhone_2011_15,PctHshldCar_2000,PctHshldCar_2011_15,AvgFamilyIncAdj_1980,AvgFamilyIncAdj_1990,AvgFamilyIncAdj_2000,AvgFamilyIncAdj_2011_15,PctChgAvgFamilyIncAdj_1980_1990,PctChgAvgFamilyIncAdj_1990_2000,PctChgAvgFamilyIncA_2000_2011_15,fs_client_2000,fs_client_2001,fs_client_2002,fs_client_2003,fs_client_2004,fs_client_2005,fs_client_2006,fs_client_2007,fs_client_2008,fs_client_2009,fs_client_2010,fs_client_2011,fs_client_2012,fs_client_2013,fs_client_2014,fs_client_2015,fs_client_2016,tanf_client_2000,tanf_client_2001,tanf_client_2002,tanf_client_2003,tanf_client_2004,tanf_client_2005,tanf_client_2006,tanf_client_2007,tanf_client_2008,tanf_client_2009,tanf_client_2010,tanf_client_2011,tanf_client_2012,tanf_client_2013,tanf_client_2014,tanf_client_2015,tanf_client_2016,Rate_crimes_pt1_violent_2000,Rate_crimes_pt1_violent_2001,Rate_crimes_pt1_violent_2002,Rate_crimes_pt1_violent_2003,Rate_crimes_pt1_violent_2004,Rate_crimes_pt1_violent_2005,Rate_crimes_pt1_violent_2006,Rate_crimes_pt1_violent_2007,Rate_crimes_pt1_violent_2008,Rate_crimes_pt1_violent_2009,Rate_crimes_pt1_violent_2010,Rate_crimes_pt1_violent_2011,Rate_crimes_pt1_violent_2012,Rate_crimes_pt1_violent_2013,Rate_crimes_pt1_violent_2014,Rate_crimes_pt1_violent_2015,Rate_crimes_pt1_violent_2016,Rate_crimes_pt1_property_2000,Rate_crimes_pt1_property_2001,Rate_crimes_pt1_property_2002,Rate_crimes_pt1_property_2003,Rate_crimes_pt1_property_2004,Rate_crimes_pt1_property_2005,Rate_crimes_pt1_property_2006,Rate_crimes_pt1_property_2007,Rate_crimes_pt1_property_2008,Rate_crimes_pt1_property_2009,Rate_crimes_pt1_property_2010,Rate_crimes_pt1_property_2011,Rate_crimes_pt1_property_2012,Rate_crimes_pt1_property_2013,Rate_crimes_pt1_property_2014,Rate_crimes_pt1_property_2015,Rate_crimes_pt1_property_2016
Tract 78.06,s,s,18,26,s,22,24,22,18,16,s,s,16,19,s,s,41,46,s,s,24,12,92,99,66,51,s,s,59787,52629,s,s,-12,499,534,554,641,651,730,751,741,782,932,1016,1078,1096,1153,1127,1168,1081,279,322,350,380,361,384,367,373,379,416,437,435,428,425,416,410,380,26,33,26,25,28,29,15,19,24,21,29,25,31,38,38,31,23,85,95,68,117,74,60,71,51,46,53,63,58,49,66,88,72,66
Tract 78.07,s,s,16,21,s,12,33,31,28,10,s,s,6.1,21,s,s,45,44,s,s,36,17,96,96,59,64,s,s,70014,65826,s,s,-6,427,441,510,571,616,690,729,710,734,819,894,1010,1050,1104,1133,1129,1039,241,266,302,303,326,378,398,395,383,397,405,389,394,425,441,444,430,23,23,22,23,20,28,18,15,27,17,22,19,20,27,23,26,28,53,57,57,82,57,36,39,49,77,49,55,69,58,48,62,64,71
Tract 78.08,s,s,36,30,s,48,32,29,27,26,s,s,22,30,s,s,36,45,s,s,35,24,92,96,48,57,s,s,44291,64456,s,s,46,1644,1534,1391,1288,1229,1338,1422,1429,1456,1590,1661,1838,1874,1907,1889,1898,1751,1021,971,888,773,728,773,809,778,756,775,810,771,752,724,693,723,662,23,26,20,24,15,21,21,32,35,38,43,30,17,26,23,24,16,53,33,46,56,40,33,31,82,119,100,97,97,44,46,44,42,33
Tract 78.09,s,s,22,24,s,16,37,16,20,21,s,s,16,14,s,s,39,58,s,s,32,16,94,96,65,64,s,s,53323,50353,s,s,-5.6,597,638,662,767,779,873,898,886,935,1114,1215,1289,1310,1379,1347,1396,1293,333,385,419,455,432,459,439,446,452,497,522,520,512,507,497,491,454,16,18,12,18,13,11,15,12,15,18,16,16,16,20,19,17,15,42,47,63,80,54,54,51,59,48,39,59,47,50,43,63,46,34
Tract 79.01,s,s,32,23,s,41,28,22,27,22,s,s,17,19,s,s,44,52,s,s,35,22,94,97,48,57,s,s,45181,69468,s,s,54,1068,1060,1117,1248,1281,1348,1266,1222,1242,1338,1439,1580,1609,1567,1469,1428,1261,572,633,737,832,812,836,741,700,664,658,633,675,660,608,588,525,453,19,22,21,24,18,22,27,18,14,13,9.7,11,15,22,20,23,19,28,41,35,45,43,34,34,21,31,30,26,27,40,48,60,47,42
Tract 79.03,s,s,19,27,s,28,47,10,12,19,s,s,15,12,s,s,45,59,s,s,32,7.3,97,97,71,67,s,s,74095,68656,s,s,-7.3,340,332,340,362,349,374,395,384,388,444,510,556,592,554,479,509,436,184,196,175,205,210,220,210,185,190,215,205,219,211,181,164,181,166,20,18,19,20,18,22,19,21,15,12,16,18,7.9,11,9,8.5,11,29,35,48,61,57,43,48,45,36,42,34,36,29,28,41,36,33
Tract 80.01,s,s,18,6.5,s,26,2.3,24,9.9,22,s,s,11,5.4,s,s,55,76,s,s,30,4.6,96,96,71,87,s,s,81978,155337,s,s,89,382,332,303,317,313,296,227,202,207,219,267,309,293,294,271,226,183,213,189,167,162,176,159,106,90,62,58,71,84,82,88,74,48,38,11,15,10,9.7,11,7.4,12,14,14,16,8.3,9,6.5,8.6,6.8,9,6.8,30,56,51,54,51,66,52,45,50,51,52,56,49,52,63,48,39
Tract 80.02,s,s,13,7.2,s,18,5.2,24,13,3.8,s,s,7.5,6.8,s,s,70,76,s,s,14,3.9,98,98,72,82,s,s,97921,141322,s,s,44,481,398,363,387,362,351,369,358,336,349,391,407,374,365,318,281,228,207,195,162,173,176,176,198,153,123,111,126,120,112,98,87,61,55,18,18,16,17,13,17,17,11,11,7.6,8.9,13,14,9.2,11,11,11,59,67,63,82,61,77,52,41,46,41,48,40,55,56,55,44,50
Tract 81,s,s,6.2,1.7,s,10,0,6.6,3.2,3.6,s,s,6.5,1.9,s,s,72,83,s,s,8.8,2.6,100,99,80,80,s,s,150197,208417,s,s,39,132,91,84,88,88,90,94,94,89,84,93,78,88,93,86,78,81,41,35,40,34,41,47,44,37,27,24,26,6,13,16,18,13,19,6.9,9.6,10,6.9,9.1,6.7,11,9,7.8,5.2,3.1,3.4,3.4,2.7,2.4,3.4,2.7,46,104,80,80,84,95,42,40,42,35,30,39,61,53,43,46,30
Tract 82,s,s,3.3,7.6,s,2.3,0,3.8,18,0,s,s,0.7,3.4,s,s,83,75,s,s,1.5,0.4,99,97,69,70,s,s,186381,215782,s,s,16,15,11,8,9,7,12,14,10,11,17,14,13,27,25,17,17,17,s,s,6,0,0,s,s,0,0,s,6,s,s,s,s,s,0,9.4,8.1,7.6,5.3,3.7,2.9,2.5,2.9,2.8,3.8,0.7,2.7,2.4,2.1,0,1.7,1.7,46,50,39,41,36,29,29,38,36,23,20,36,36,39,33,34,27
