PctPoorPersons_1980,PctPoorPersons_1990,PctPoorPersons_2000,PctPoorPersons_2011_15,PctPoorChildren_1990,PctPoorChildren_2000,PctPoorChildren_2011_15,PctPoorElderly_1990,PctPoorElderly_2000,PctPoorElderly_2011_15,PctUnemployed_1980,PctUnemployed_1990,PctUnemployed_2000,PctUnemployed_2011_15,Pct16andOverEmployed_1980,Pct16andOverEmployed_1990,Pct16andOverEmployed_2000,Pct16andOverEmployed_2011_15,Pct25andOverWoutHS_1980,Pct25andOverWoutHS_1990,Pct25andOverWoutHS_2000,Pct25andOverWoutHS_2011_15,PctHshldPhone_2000,PctHshldPhone_2011_15,PctHshldCar_2000,PctHshldCar_2011_15,AvgFamilyIncAdj_1980,AvgFamilyIncAdj_1990,AvgFamilyIncAdj_2000,AvgFamilyIncAdj_2011_15,PctChgAvgFamilyIncAdj_1980_1990,PctChgAvgFamilyIncAdj_1990_2000,PctChgAvgFamilyIncA_2000_2011_15,fs_client_2000,fs_client_2001,fs_client_2002,fs_client_2003,fs_client_2004,fs_client_2005,fs_client_2006,fs_client_2007,fs_client_2008,fs_client_2009,fs_client_2010,fs_client_2011,fs_client_2012,fs_client_2013,fs_client_2014,fs_client_2015,fs_client_2016,tanf_client_2000,tanf_client_2001,tanf_client_2002,tanf_client_2003,tanf_client_2004,tanf_client_2005,tanf_client_2006,tanf_client_2007,tanf_client_2008,tanf_client_2009,tanf_client_2010,tanf_client_2011,tanf_client_2012,tanf_client_2013,tanf_client_2014,tanf_client_2015,tanf_client_2016,Rate_crimes_pt1_violent_2000,Rate_crimes_pt1_violent_2001,Rate_crimes_pt1_violent_2002,Rate_crimes_pt1_violent_2003,Rate_crimes_pt1_violent_2004,Rate_crimes_pt1_violent_2005,Rate_crimes_pt1_violent_2006,Rate_crimes_pt1_violent_2007,Rate_crimes_pt1_violent_2008,Rate_crimes_pt1_violent_2009,Rate_crimes_pt1_violent_2010,Rate_crimes_pt1_violent_2011,Rate_crimes_pt1_violent_2012,Rate_crimes_pt1_violent_2013,Rate_crimes_pt1_violent_2014,Rate_crimes_pt1_violent_2015,Rate_crimes_pt1_violent_2016,Rate_crimes_pt1_property_2000,Rate_crimes_pt1_property_2001,Rate_crimes_pt1_property_2002,Rate_crimes_pt1_property_2003,Rate_crimes_pt1_property_2004,Rate_crimes_pt1_property_2005,Rate_crimes_pt1_property_2006,Rate_crimes_pt1_property_2007,Rate_crimes_pt1_property_2008,Rate_crimes_pt1_property_2009,Rate_crimes_pt1_property_2010,Rate_crimes_pt1_property_2011,Rate_crimes_pt1_property_2012,Rate_crimes_pt1_property_2013,Rate_crimes_pt1_property_2014,Rate_crimes_pt1_property_2015,Rate_crimes_pt1_property_2016,CENSUS_TRACT
s,s,7.4,14.0,s,3.9,3.7,2.4,0.5,2.6,s,s,20,5.1,s,s,56,55.0,s,s,1.7,1.6,99,98.0,85,88.0,s,s,270493,358332,s,s,32,11,10,9,12,13,12,9,9,9,12,15,26.0,43.0,41.0,42.0,35.0,0.0,6,s,s,s,s,s,0,0,0,0,s,s,5,7,s,s,0,0.7,1.0,0.4,0.0,0.4,0.3,0.3,0.4,0.1,0.4,0.3,0.3,0.6,0.3,0.3,0.3,0.3,15,15.0,14.0,11.0,10.0,9.7,9.7,9.7,13.0,12.0,11.0,13.0,11.0,12.0,14.0,16.0,13.0,801.0
s,s,13,14.0,s,5.7,1.1,3.0,3.3,0,s,s,1.5,4.2,s,s,70,65.0,s,s,2,3.2,100,94.0,93,90.0,s,s,226981,245661,s,s,8.2,s,s,5,5,5,6,s,s,s,5,7,14.0,14.0,20.0,21.0,23.0,0.0,s,0,0,0,0,s,0,0,0,0,0,s,0,0,0,0,0,1.1,1.4,3.2,2.5,0.7,1.8,0.7,1.8,0.4,1.7,1.7,1.4,1.4,1.0,0.0,0.0,0.7,31,16.0,14.0,33.0,13.0,12.0,14.0,14.0,19.0,19.0,31.0,16.0,13.0,14.0,10.0,8.7,14.0,802.0
s,s,4.4,11.0,s,0,1.7,0.0,1.4,2.3,s,s,59,9.6,s,s,33,38.0,s,s,1.9,2.3,100,99.0,97,92.0,s,s,416548,393274,s,s,-5.6,5,s,s,s,s,s,s,s,s,s,s,7.0,16.0,15.0,15.0,22.0,0.0,s,s,s,s,s,s,0,0,0,0,0,s,s,s,s,0,0,1,1.5,0.7,0.3,0.6,0.3,1.3,0.3,0.4,0.3,0.1,0.1,0.1,0.3,0.3,0.7,0.8,21,19.0,17.0,17.0,12.0,12.0,9.2,10.0,7.9,9.2,9.8,9.6,9.5,14.0,9.6,8.5,8.5,901.0
s,s,3.2,1.7,s,2.1,0.7,7.2,0,0.3,s,s,0.8,2.0,s,s,74,73.0,s,s,3,1.3,100,99.0,95,98.0,s,s,288079,351946,s,s,22,s,s,0,s,s,s,s,s,s,5,s,6.0,18.0,18.0,12.0,15.0,0.0,0,s,0,0,0,0,0,0,0,0,0,s,8,8,s,s,0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,1.0,0.0,0.5,0.0,0.5,0.0,0.5,1.4,1.0,17,13.0,9.0,14.0,9.4,12.0,9.8,14.0,9.2,17.0,15.0,8.6,9.1,16.0,8.6,8.6,15.0,902.0
s,s,4.6,4.7,s,1.4,0.9,5.2,3.4,4,s,s,2.8,2.3,s,s,72,63.0,s,s,3.4,1.1,100,100.0,87,88.0,s,s,229532,199554,s,s,-13,10,11,11,10,11,19,22,19,20,28,38,46.0,34.0,41.0,45.0,57.0,66.0,0,0,0,0,0,s,s,0,0,0,0,s,6,s,s,s,s,4,4.4,4.3,3.6,3.2,3.0,1.6,4.4,2.8,3.4,3.1,3.4,2.0,1.5,1.6,1.6,2.3,41,38.0,35.0,36.0,33.0,29.0,26.0,53.0,61.0,54.0,48.0,48.0,44.0,59.0,52.0,50.0,44.0,1001.0
s,s,18,28.0,s,8.5,0,5.7,0,9.8,s,s,2.5,5.0,s,s,71,72.0,s,s,1.9,4.7,99,96.0,76,76.0,s,s,107459,159898,s,s,49,10,7,7,11,14,8,6,6,6,19,20,22.0,21.0,19.0,17.0,22.0,24.0,s,s,s,7,9,0,s,s,s,s,s,s,s,s,s,s,s,3.2,2.9,2.0,0.6,2.6,1.7,1.4,1.2,2.0,0.9,0.9,2.3,0.6,1.5,1.2,1.7,1.2,33,30.0,24.0,22.0,30.0,25.0,18.0,19.0,22.0,24.0,17.0,16.0,18.0,13.0,14.0,16.0,12.0,1002.0
s,s,2,4.0,s,0,0,7.9,10,0,s,s,1.3,3.5,s,s,73,66.0,s,s,4.4,0.7,99,99.0,88,86.0,s,s,259148,255862,s,s,-1.3,34,28,32,29,34,36,47,49,45,53,64,74.0,83.0,92.0,87.0,108.0,101.0,s,0,8,s,0,0,s,s,8,8,7,11,6,7,9,5,6,7.2,9.4,8.7,6.8,5.7,4.8,7.8,5.1,3.2,4.4,5.4,2.5,3.1,3.1,4.4,4.4,5.0,76,62.0,68.0,76.0,73.0,56.0,44.0,33.0,43.0,52.0,40.0,36.0,54.0,71.0,56.0,53.0,44.0,1100.0
s,s,7.2,5.2,s,3.7,0,3.0,9,9.4,s,s,1.6,1.6,s,s,79,75.0,s,s,4.6,2.2,100,99.0,77,68.0,s,s,196731,192444,s,s,-2.2,10,12,16,20,18,13,18,23,20,35,37,34.0,47.0,53.0,39.0,47.0,67.0,0,5,8,5,s,s,s,6,s,s,9,6,13,9,7,8,8,2.9,3.1,1.2,1.8,0.6,0.8,0.6,2.0,2.0,3.0,1.4,1.4,2.2,0.6,2.2,2.0,1.4,19,22.0,23.0,17.0,18.0,18.0,12.0,25.0,26.0,24.0,20.0,24.0,29.0,27.0,36.0,37.0,26.0,1200.0
s,s,8.1,6.4,s,4.4,6.1,5.7,1.8,0,s,s,1,3.4,s,s,72,79.0,s,s,1.9,1.3,100,98.0,82,74.0,s,s,304427,282980,s,s,-7,5,s,5,7,11,10,15,9,11,17,21,27.0,20.0,22.0,29.0,28.0,26.0,0,0,0,0,s,0,0,5,s,6,s,10,5,6,7,s,8,0.5,1.9,1.8,0.3,0.3,1.6,1.3,0.8,1.0,0.3,0.8,0.3,0.0,0.3,0.3,0.0,0.0,22,21.0,14.0,24.0,25.0,15.0,14.0,20.0,16.0,16.0,9.1,16.0,9.1,7.6,7.1,10.0,6.3,1301.0
s,s,4.3,11.0,s,3.7,5.2,3.1,5.1,6.8,s,s,2.1,3.6,s,s,75,77.0,s,s,1.6,0.8,99,97.0,67,63.0,s,s,170395,194520,s,s,14,14,16,17,10,13,13,18,17,16,16,21,37.0,38.0,36.0,43.0,46.0,36.0,s,s,s,s,s,s,s,s,s,s,0,0,0,0,0,0,0,3.3,4.8,4.0,2.0,2.3,3.0,2.6,1.2,1.3,1.6,2.2,0.7,0.4,1.3,0.6,0.6,0.4,44,33.0,35.0,40.0,30.0,26.0,24.0,17.0,18.0,20.0,18.0,18.0,7.4,12.0,12.0,12.0,8.5,1302.0
